City,Lat,Long,Max Temp (C),Humidity,Cloudiness,Windspeed,Country Code,Date
Mulchén,-37.72,-72.23,10.0,93,20,2.6,CL,1601310161
Caraballeda,10.61,-66.85,26.67,53,63,2.62,VE,1601310162
Boende,-0.22,20.87,21.86,96,100,1.69,CD,1601310162
Bria,6.54,21.99,23.22,93,100,2.58,CF,1601310162
Manoel Urbano,-8.84,-69.26,36.56,35,5,1.26,BR,1601310163
Verkhnyaya Inta,65.98,60.31,3.41,77,99,2.92,RU,1601310163
Alice Springs,-23.7,133.88,27.0,11,30,8.7,AU,1601310163
Thompson,55.74,-97.86,4.0,93,90,1.0,CA,1601310163
Aykhal,66.0,111.5,1.0,93,75,3.0,RU,1601310164
Yayva,59.33,57.26,5.56,82,56,0.37,RU,1601310164
Saint-Pierre,46.77,-56.17,15.0,100,90,5.1,PM,1601310165
Gamba,-2.65,10.0,25.58,69,87,3.66,GA,1601310165
Kemijärvi,66.71,27.43,10.59,94,38,2.13,FI,1601310165
Aracaju,-10.91,-37.07,29.0,66,40,6.2,BR,1601310104
Norman Wells,65.28,-126.83,6.0,93,75,5.1,CA,1601310166
Mirzāpur,24.1,90.1,30.0,66,75,1.34,BD,1601310166
Kāmyārān,34.8,46.94,27.0,15,0,2.1,IR,1601310166
Sarkand,45.41,79.92,4.21,66,40,0.65,KZ,1601310167
Valley City,46.92,-98.0,11.0,66,90,9.8,US,1601310167
Mandalgovi,45.76,106.27,4.93,61,74,2.23,MN,1601310167
Kamenka,51.32,42.77,13.01,39,75,4.01,RU,1601310168
Oktyabr'skiy,54.48,53.47,10.99,69,0,1.06,RU,1601310168
Kachīry,53.07,76.1,10.73,76,95,3.5,KZ,1601310168
San Andrés,12.58,-81.7,31.0,74,75,4.6,CO,1601310165
Saldanha,-33.01,17.94,16.0,59,0,4.6,ZA,1601310169
Mar del Plata,-38.0,-57.56,12.0,71,75,6.2,AR,1601309872
Jinchang,38.5,102.17,14.33,60,89,2.31,CN,1601310170
Duminichi,53.93,35.11,12.01,84,19,1.81,RU,1601310048
Youkounkoun,12.53,-13.13,30.72,68,46,1.33,GN,1601310170
Baruun-Urt,46.68,113.28,3.04,74,0,3.22,MN,1601310171
Victoria,-4.62,55.45,27.0,78,20,4.06,SC,1601310026
Tiksi,71.69,128.87,1.32,86,100,7.55,RU,1601310172
Severo-Yeniseyskiy,60.37,93.04,-0.15,98,100,3.32,RU,1601310172
Torbay,47.67,-52.73,20.0,82,75,9.8,CA,1601310172
Paamiut,61.99,-49.67,2.33,75,0,7.62,GL,1601310173
Longyearbyen,78.22,15.64,3.0,93,75,3.1,SJ,1601310173
Chui,-33.7,-53.46,17.63,60,30,6.69,UY,1601310173
Biu,10.61,12.19,25.81,76,82,1.18,NG,1601310173
Phan Thiet,10.93,108.1,25.59,87,100,3.43,VN,1601310148
Kijang,0.9,104.63,28.0,83,20,2.6,ID,1601310174
Ponta do Sol,17.2,-25.09,31.0,62,75,9.3,CV,1601310174
San Cristobal,-0.9,-89.62,21.0,88,75,6.2,EC,1601310174
Dehlorān,32.69,47.27,33.59,12,0,3.65,IR,1601310175
Papillion,41.15,-96.04,16.67,48,90,7.7,US,1601310176
Hualmay,-11.1,-77.61,20.13,63,64,3.85,PE,1601310176
Vanavara,60.34,102.28,7.12,80,100,5.6,RU,1601310176
Gaoua,10.3,-3.25,30.97,55,55,0.13,BF,1601310177
Sinnamary,5.38,-52.95,30.53,61,31,6.33,GF,1601310177
Adrar,25.75,-1.0,42.2,7,0,3.82,DZ,1601310178
Kahului,20.89,-156.47,23.33,73,1,3.53,US,1601310178
Tupelo,34.26,-88.7,22.0,83,90,2.1,US,1601310069
Golspie,57.97,-3.98,18.0,68,20,8.7,GB,1601310178
Río Gallegos,-51.62,-69.22,7.0,48,75,9.3,AR,1601310087
Severo-Kuril'sk,50.68,156.12,10.53,92,100,9.49,RU,1601310179
Dhidhdhoo,6.88,73.1,28.38,75,91,3.11,MV,1601310179
Klaksvík,62.23,-6.59,10.0,93,97,6.7,FO,1601310179
Fairbanks,64.84,-147.72,3.0,92,1,1.76,US,1601310111
Guadalupe y Calvo,26.1,-106.97,21.51,35,0,3.43,MX,1601310180
Ambulu,-8.35,113.61,23.99,86,18,1.48,ID,1601310180
Guerrero,17.67,-100.0,24.75,64,89,1.18,MX,1601310180
Nishihara,26.18,127.76,25.0,78,40,2.1,JP,1601310181
Mehamn,71.04,27.85,7.0,87,99,2.1,NO,1601310181
Gachsaran,30.36,50.8,30.0,37,0,0.42,IR,1601310167
Touros,-5.2,-35.46,30.0,66,75,7.2,BR,1601310181
Vostok,46.49,135.88,9.02,100,100,1.33,RU,1601310159
Fes,34.04,-5.0,32.0,21,0,2.1,MA,1601309941
Plettenberg Bay,-34.05,23.37,14.6,56,0,3.27,ZA,1601310182
Valparaíso,-33.04,-71.63,16.0,63,99,3.1,CL,1601310122
Moundsville,39.92,-80.74,25.0,69,1,5.7,US,1601310183
Mahon,39.89,4.27,21.0,60,20,4.1,ES,1601310183
Nemuro,43.32,145.57,12.31,79,0,5.32,JP,1601310183
Palana,59.12,159.97,3.96,74,100,1.95,RU,1601310184
Port Perry,44.11,-78.94,23.33,73,1,3.6,CA,1601310004
Melville,50.92,-102.8,9.0,70,1,4.6,CA,1601310184
Yelovo,57.05,54.92,11.36,83,39,1.17,RU,1601310184
Tiarei,-17.53,-149.33,24.0,83,40,2.6,PF,1601310185
São Gabriel da Cachoeira,-0.13,-67.09,30.0,70,20,2.1,BR,1601310185
Pedersore,63.65,22.68,14.0,87,100,1.0,FI,1601310185
Dwārka,22.24,68.97,27.82,72,10,4.73,IN,1601310186
Nikolskoye,59.7,30.79,13.89,66,67,4.0,RU,1601310186
Kikwit,-5.04,18.82,27.76,61,68,2.26,CD,1601310186
Boissevain,49.23,-100.06,10.0,76,90,8.7,CA,1601310187
Kizilskoye,52.73,58.89,12.53,52,0,0.49,RU,1601310187
Arrondissement de Meaux,48.92,3.0,14.44,86,100,2.24,FR,1601310187
Bonavista,48.65,-53.11,16.92,82,81,8.14,CA,1601310188
Wārāseonī,21.75,80.03,24.37,84,0,2.21,IN,1601310188
Tyukalinsk,55.87,72.2,10.9,93,77,3.92,RU,1601310188
Katangli,51.71,143.23,9.18,81,79,5.74,RU,1601310189
Sumbe,-11.21,13.84,25.0,77,75,2.6,AO,1601310189
Severnyy-Kospashskiy,59.09,57.8,6.11,81,62,0.97,RU,1601310005
Qujing,25.48,103.78,16.48,93,41,2.25,CN,1601310190
Laranja da Terra,-19.9,-41.06,37.01,24,0,1.89,BR,1601310190
Toamasina,-18.17,49.38,23.0,88,40,1.5,MG,1601310190
Antofagasta,-23.65,-70.4,16.0,63,75,4.1,CL,1601310190
Samaná,19.21,-69.34,29.0,79,40,4.1,DO,1601310191
Nizhnevartovsk,60.93,76.55,5.0,75,75,3.0,RU,1601310071
Turan,16.07,108.22,29.0,79,20,2.1,VN,1601310191
Otjimbingwe,-22.35,16.13,27.98,11,0,8.19,NA,1601310192
Tautira,-17.73,-149.15,24.0,83,40,2.6,PF,1601310192
Laguna,-28.48,-48.78,18.93,75,88,5.39,BR,1601310192
Clyde River,70.47,-68.59,-1.0,86,75,6.2,CA,1601310193
Ilulissat,69.22,-51.1,0.0,89,75,1.5,GL,1601310193
Jieshi,22.81,115.83,25.45,86,100,5.54,CN,1601310193
Bobrov,51.1,40.03,15.83,33,58,5.65,RU,1601310194
Denpasar,-8.65,115.22,27.0,100,40,3.1,ID,1601310081
Coyhaique,-45.58,-72.07,11.0,62,75,3.6,CL,1601310113
Almazar,40.32,69.01,18.0,42,40,3.0,UZ,1601310194
Beisfjord,68.38,17.6,12.0,76,75,4.6,NO,1601310195
Saint-Leu,-21.15,55.28,23.0,78,17,1.5,RE,1601310195
Bontang,0.13,117.5,23.98,88,100,3.23,ID,1601310195
Russell,-35.26,174.12,10.56,89,0,1.79,NZ,1601310196
Poya,-21.35,165.15,20.73,86,99,5.45,NC,1601310196
Port Hardy,50.7,-127.42,14.0,82,75,4.1,CA,1601310196
Hamilton,32.29,-64.78,27.0,74,75,5.1,BM,1601309905
Vao,-22.67,167.48,19.99,90,100,9.62,NC,1601310197
Colon,8.03,-72.26,31.0,45,40,2.1,VE,1601310197
Swan River,52.11,-101.27,8.58,67,44,3.5,CA,1601310198
Fortuna,40.6,-124.16,21.0,35,40,3.6,US,1601310198
Tual,-5.67,132.75,26.86,81,100,6.07,ID,1601310198
Blyth,55.13,-1.51,16.0,67,40,1.0,GB,1601310051
Lososina,49.0,140.31,13.81,75,100,1.59,RU,1601310199
Ust-Nera,64.57,143.2,7.8,64,94,1.9,RU,1601310199
Homer,59.64,-151.55,8.33,100,90,1.5,US,1601310006
Kharan,28.58,65.42,26.05,15,1,0.86,PK,1601310199
Egvekinot,66.32,-179.17,-1.37,89,100,0.35,RU,1601310200
Avilés,43.55,-5.92,18.33,67,91,1.5,ES,1601310200
Saladoblanco,1.99,-76.04,25.53,56,5,1.47,CO,1601310201
Doka,13.52,35.77,27.67,61,28,0.96,SD,1601310201
Estelle,29.85,-90.11,31.67,79,75,3.6,US,1601310201
Riyadh,24.69,46.72,35.0,16,0,4.1,SA,1601310121
Assaré,-6.87,-39.88,37.6,20,0,3.7,BR,1601310202
Coquimbo,-29.95,-71.34,15.0,72,75,7.7,CL,1601309969
Rockland,41.17,-74.05,23.89,85,99,3.96,US,1601310202
Sungurlu,40.17,34.37,24.87,30,0,0.84,TR,1601310203
Isangel,-19.55,169.27,22.18,84,6,2.89,VU,1601310203
Zhigansk,66.77,123.37,0.63,90,35,4.01,RU,1601310203
Manokwari,-0.87,134.08,26.77,72,96,1.79,ID,1601310204
Aleksandrovskiy Zavod,50.92,117.94,1.72,86,27,2.35,RU,1601310204
Labuhan,-6.88,112.21,26.41,75,99,4.18,ID,1601310204
Fallon,39.47,-118.78,15.56,32,1,3.55,US,1601310205
Saint-Ambroise,48.55,-71.33,24.0,60,75,2.1,CA,1601310205
Huarmey,-10.07,-78.15,19.99,66,14,4.35,PE,1601310205
Ciudad Río Bravo,25.98,-98.1,30.0,74,75,1.5,MX,1601310205
Abu Dhabi,24.47,54.37,33.0,63,0,3.1,AE,1601310099
Eureka,40.8,-124.16,18.89,90,0,2.28,US,1601310206
Grand Gaube,-20.01,57.66,23.33,76,26,4.02,MU,1601310206
Nelson Bay,-32.72,152.15,6.67,93,0,1.65,AU,1601309910
Bagdarin,54.43,113.6,0.66,90,85,1.34,RU,1601310207
Cam Ranh,11.92,109.16,29.0,89,40,5.7,VN,1601309944
Zhengjiatun,43.51,123.51,10.42,81,100,2.64,CN,1601310207
Harper,4.38,-7.72,26.5,83,82,4.8,LR,1601310207
Alofi,-19.06,-169.92,23.0,100,16,3.6,NU,1601310208
Vila Franca do Campo,37.72,-25.43,23.0,78,20,5.7,PT,1601310208
Richards Bay,-28.78,32.04,16.41,87,99,4.18,ZA,1601310208
Nizhniy Kuranakh,58.84,125.49,3.56,90,99,2.77,RU,1601310208
Talnakh,69.49,88.4,0.0,96,75,6.0,RU,1601310209
Lively,46.43,-81.15,14.0,93,90,4.1,CA,1601310209
Castro,-42.47,-73.77,9.52,92,100,2.23,CL,1601310210
La Asuncion,11.03,-63.86,30.0,70,100,5.1,VE,1601310210
Sémbé,1.65,14.58,23.98,91,96,1.26,CG,1601310211
Karratha,-20.74,116.85,23.01,25,3,6.97,AU,1601310211
Chapais,49.78,-74.85,19.0,59,40,2.6,CA,1601310066
Suntar,62.14,117.63,6.75,79,87,4.09,RU,1601310212
Las Choapas,17.93,-94.08,28.0,78,75,3.1,MX,1601310212
Baghmara,23.8,86.21,26.63,83,35,2.41,IN,1601310212
Cidreira,-30.18,-50.21,17.34,68,82,6.65,BR,1601310212
Curup,-3.47,102.53,20.35,90,96,1.31,ID,1601310213
Tūkrah,32.53,20.58,28.77,56,41,3.56,LY,1601310213
Clearwater,27.97,-82.8,30.56,74,40,2.38,US,1601310213
Xining,36.62,101.77,11.55,65,97,1.41,CN,1601310213
Ahipara,-35.17,173.17,13.2,78,23,7.4,NZ,1601310214
Outlook,51.5,-107.05,8.33,70,98,2.24,CA,1601310214
Labuan,5.28,115.24,27.0,88,40,1.5,MY,1601310053
Palafrugell,41.92,3.16,21.67,40,44,2.74,ES,1601310214
Hanyang,32.14,105.51,15.92,83,96,0.9,CN,1601310215
Kysyl-Syr,63.9,122.76,0.23,95,19,1.91,RU,1601310215
Rundu,-17.93,19.77,34.21,10,0,1.91,NA,1601310215
Henties Bay,-22.12,14.28,15.0,76,0,6.31,NA,1601310215
Saint-François,16.25,-61.27,30.0,74,40,6.2,GP,1601310216
North Platte,41.12,-100.77,16.0,31,1,10.8,US,1601309957
Pacific Grove,36.62,-121.92,17.22,62,1,0.47,US,1601310216
Lagoa,39.05,-27.98,20.89,88,100,7.92,PT,1601310216
Taganak,6.08,118.3,24.0,100,20,1.0,PH,1601310217
Firminy,45.39,4.29,11.0,87,90,1.5,FR,1601310216
Penzance,50.12,-5.54,16.11,100,90,5.7,GB,1601310211
Istok,56.79,60.78,8.0,93,52,1.22,RU,1601310217
Khovd,48.01,91.64,5.25,64,19,0.62,MN,1601310218
Svobody,44.03,43.05,20.0,60,9,5.0,RU,1601310218
Ponta do Sol,32.67,-17.1,23.89,73,16,1.79,PT,1601310219
Kosum Phisai,16.25,103.07,27.0,88,20,1.0,TH,1601310219
Sur,22.57,59.53,28.75,59,0,4.77,OM,1601310219
Basco,20.45,121.97,28.38,78,96,5.13,PH,1601310220
Orlovskiy,46.87,42.06,17.71,36,0,7.35,RU,1601310220
Nouadhibou,20.93,-17.03,26.0,61,0,9.3,MR,1601310220
Prachuap Khiri Khan,11.82,99.78,24.9,89,100,4.39,TH,1601310220
Saint-Philippe,-21.36,55.77,23.0,78,45,1.5,RE,1601310221
Teguise,29.06,-13.56,26.0,61,20,10.8,ES,1601310221
Soyo,-6.13,12.37,28.0,69,20,4.1,AO,1601310221
Fort Atkinson,42.93,-88.84,14.44,100,99,4.77,US,1601310029
Fuxin,42.02,121.66,13.04,69,100,3.11,CN,1601310222
Fare,-16.7,-151.02,25.67,80,9,8.11,PF,1601310223
Saint-André-Avellin,45.72,-75.07,23.33,78,75,2.6,CA,1601310223
Zhicheng,30.3,111.5,18.89,96,100,0.86,CN,1601310223
Alyangula,-13.85,136.42,23.0,88,1,0.86,AU,1601310223
Wajir,1.75,40.06,33.0,41,40,5.06,KE,1601310224
Abū Zabad,12.35,29.25,31.44,45,19,3.49,SD,1601310224
Buchanan,5.88,-10.05,31.0,70,75,5.1,LR,1601310224
Lima,-12.04,-77.03,17.78,77,90,3.6,PE,1601310003
Suba,10.84,121.01,28.92,73,70,3.36,PH,1601310225
Juneau,58.3,-134.42,10.0,93,75,6.2,US,1601310225
Portland,-38.33,141.6,6.75,91,75,3.91,AU,1601310225
